Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist - Underwriting Algorithms,$108K-$145K (Glassdoor est.),"Faire is using machine learning to change wholesale and help local retailers compete with Amazon and big box stores. Our experienced data scientists and machine learning engineers are tackling recommendations, ranking, search, logistics, underwriting, and more - all with the goal of helping local retail thrive.

Job Description

The Data Science team owns a wide variety of algorithms and models that power the marketplace. We care about building machine learning models that help our customers thrive. The data science team helps answer questions like; How do we underwrite retailers with thin files? How do we optimally assign term limits to Faire retailers? How to minimize the risk of defaults while maximizing the share of wallet growth driven by net terms? What data sources should we invest in to improve the performance of our credit models?

We're looking for someone who's comfortable working on the cutting edge of machine learning research. You're happy working autonomously and delivering results without micromanagement. You wake up ready to take a problem end-to-end, dive into the guts of our information-rich databases, and produce actionable insights. You can't wait to push the boundaries and discover the next big thing, then share it with your peers. You are, or will be, world-class in credit risk and help lead the wider data community. Faire will soon be known as a top destination for data scientists and machine learning, and you will help take us there!

You're excited about this role because
You'll be able to work on cutting edge credit underwriting problems combining a wide variety of data about our retailers, makers and products
You are passionate about solving problems in the FinTech space with innovative machine learning techniques and using alternate data sources for risk management
You want to use machine learning to help local retailers and independent makers succeed
You want to be a foundational member of a fast-growing company
Qualifications
3+ years of industry experience in developing, testing, and validating credit risk models in the financial services industry
Experience applying with either boosted trees models, decision trees, or other models to solve credit underwriting problems
Strong skills in statistics, probability, and/or machine learning
A track record of solving problems using data science. The tooling/language isn't important. (e.g., numpy, pandas, scikit-learn, R, etc.)
Experience with relational databases and SQL
Relentless resourcefulness and the ability to thrive in a startup -- you're willing to do what needs to be done for the success of your team
The ability to self-regulate and get stuff done with minimal direct supervision
Strong communication skills and the ability to work with others in a closely collaborative team environment.
Nice to have:
MSc or PhD in any mathematical or statistical subject, e.g.: mathematics, statistics, computer science, astrophysics, neuroscience, operations research, economics, any of the physical sciences
Experience with capital markets reporting and credit line management is a plus
What We Offer:
We're growing fast. You will get in on the ground floor of something that's going to be special.
We're funded by the best VCs in the world.
Our founding team is experienced and led the development of one of the top 25 apps in the US App Store (Square Cash).
Great technology stack. It's fun to work with the best tools and the latest software.
The business makes sense. It's straightforward, provides clear value to both retailers and makers. You get to help change an entire industry for the better.
It's beautiful. Work on something that's well-designed, following the footsteps of Apple and Square.
About Faire

Faire is an innovative online marketplace that uses machine learning to match local retailers with the makers of products that uniquely fit their stores. We are using the power of technology to connect makers and boutiques from all over the world, building a thriving community of over 50,000 small business owners.

Our mission is to empower entrepreneurs to chase their dreams. We believe entrepreneurship is a calling. It's a way of life that offers people a level of autonomy and fulfillment that's become difficult to find elsewhere in our economy. Most of our customers have left behind jobs they hated to take a chance on themselves. We want to make sure their boldness and self-belief gets rewarded.

This mission also extends to the way we are building the company. Every member of our team is an owner of the business and taking part in the founding process.

Faire is being built for entrepreneurs, by entrepreneurs.",4.3,"Faire
4.3","San Francisco, CA","San Francisco, CA",201 to 500 employees,2016,Company - Private,Wholesale,Business Services,Unknown / Non-Applicable,Shopify
Artificial Intelligence/Machine Learning Data Scientist,$108K-$145K (Glassdoor est.),"MITRE performs leading-edge research
and development toward transformational solutions to our world’s most
challenging problems. Our Center for Advanced Aviation Systems Development is a
Federally-Funded Research and Development Center (FFRDC) established to serve
as strategic partners to the federal government and various aviation groups
around the world. Our engineers, analysts, technical and operational experts
team to solve problems in the public interest that improve the safety and
efficiency of the airspace system in the U.S. and abroad.

The Aviation Safety & Analysis
department is individuals with interest in applying their data science skills
to deep and challenging problems in the aviation domain. We have a treasure trove of data including
time series, text and sensor data and challenging problems to solve. We are
seeking skills in machine learning, deep learning, text mining, big data and
software/application development.

If
Sklearn, pyTorch, Keras,TensorFlow, LSTM, LDA, anomaly detection, entity
extraction, summarization mean something to you, we want to talk to you. You
are not required to have skills in all of these but should have hands-on skill
in at least one area and the ability to dive deep in the data, and learn the
necessary skills to get the job done.

The candidate will
work with the FAA and international customers, leveraging one of the largest repositories
of aviation data to improve the capabilities, safety, and efficiency of the
aviation system.

The candidate will
be responsible for supporting a team of more senior AI/ML staff and Data
Scientists in the following tasks:
Leveraging
AI/ML techniques and solutions to identify complex patterns for predicting
safety hazards
Increasing
the efficiency and quality of the vulnerability discovery process by tightly
integrating automated processes, AI/ML techniques and human SME/analyst
expertise
Develop and
prototype AI algorithms and software tools.
Enhance and
maintain current analysis tools, including automation of current processes
using AI/ML algorithms.
Conduct
quantitative data analysis using a variety of datasets, including developing
retrieval, processing, fusion, analysis, and visualization of various datasets
Develop
techniques that make use of both digital flight data, text-based safety
reporting, and a variety of other aviation data sets both in a silo and in a
fused environment to identify potential safety vulnerabilities
Basic
Qualifications:
Bachelor’s
Degree in Computer Science, Mathematics, Statistics, Physics, Electrical
Engineering, Computer Engineering or related fields
Hands-on
Software Development Skills (Python-Preferred)
Experience
or educational courses/projects in Machine Learning, and/or Text Mining Algorithms.
Ability to
work closely with Domain experts to develop tools/algorithms needed to answer
research questions in their studies
Excellent
Communication Skills (with the abilty to explain developed tools and ML
algorithms to a non-technical audience)
Ability to
formulate operational problems in aviation domain as technical problems that
allows for reuse of leading research in the area.
Proven
ability to work independently to learn new technologies, techniques, processes,
languages, platforms, systems
Strong
analytic, inferencing, critical thinking, and creative problem-solving skills
Self-starter
with ability to work both independently and with a team

Preferred
Qualifications:
1 to 2 years
of relevant experience
Experience
with Deep Learning Frameworks such as Keras, Tensorflow, PyTorch,Mxnet etc.
Ability to apply these frameworks to real problems in the ‘time -series’ domain
Experience
with interpretability of deep learning models
Big Data
Skills (Hadoop, Spark, recent deep learning platforms)
Visualizations/Web
Development Skills (e.g. Tableau, MEAN stack - MongoDB,
ExpressJS, AngularJS, NodeJS).
Practical
experience with statistical analysis
Experience
with text mining tools and techniques including in areas of summarization ,
search (e.g. ELK Stack) , entity extraction, training set generation (e.g.
Snorkel) and anomaly detection
Expert
software development skills lifecycle including developing and maintain good
production quality code",3.2,"MITRE
3.2","McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC"
Data Scientist,$76K-$123K (Glassdoor est.),"Overview


As the situation surrounding the coronavirus disease 2019 (COVID-19) continues to evolve, Esri is supporting our users and the community at large with software, services, and materials that are helping people understand, manage, and communicate the impact of the outbreak. Visit our COVID-19 Maps, Resources, and Insights page to see some of the things we are doing.

Are you passionate about changing the world through machine learning and location intelligence? If yes, then it’s the right time to join our team because we are about to do so! With the IoT revolution, the consumerization of mapping, and location data growing exponentially day after day, location is becoming extremely important to more and more people. We want to enable organizations and businesses to go beyond basic visualization and analytics of such massive data to the realm of being two or three steps ahead of the game by extracting advanced levels of intelligence from it, predicting important events, and automating significant proportions of their work through AI and machine learning.

We are looking for an entrepreneurial, collaborative person with strong hands-on experience and solid track record with statistical analysis, machine learning, predictive analytics, software engineering, and passion for location to help us on our mission to build world class predictive location analytics solutions for our customers in 160+ countries.

Responsibilities
Consult closely with customers to understand their needs
Develop data science solutions for customers by mapping business problems to machine learning or other advanced analytics approaches
Build high-quality analytics systems that solve our customers' business problems using techniques from data mining, statistics, and machine learning
Write clean, collaborative, and version controlled code to process big data and streaming data from a variety of sources and types
Perform feature engineering, model selection, and hyperparameter optimization to yield high predictive accuracy and deploy the model to production in a cloud, on-premises, or hybrid environment
Implement best practices and patterns for geospatial machine learning and develop reusable technical components for demonstrations and rapid prototypin
Keep up to date with the latest technology trends in machine and deep learning and incorporate them in project delivery
Requirements
2+ years of practical machine learning experience or applicable academic/lab work
Experience in building and optimizing supervised and unsupervised machine learning models including deep learning and various other modern data science techniques
A fundamental understanding of mathematical and machine learning concepts such as calculus, back propagation, ReLU, Bayes’ theorem, Random Forests, time series analysis, etc.
Experience with applied statistics concepts
Experience developing software collaboratively in Python using version control
Ability to perform data extraction, transformation, loading from multiple sources and sinks
Ability to produce data visualizations using tools such as matplotlib
Self-motivated, life-long learner
Strong communication skills, including to non-technical audiences
Bachelor's in mathematics, statistics, computer science, physics or a similar field, depending on position level (master's preferred)
Recommended Qualifications
Familiarity with one or more of the following: Git, Pytorch, Tensorflow, CUDA/GPU programming
DevOps/MLOps experience using Docker/Kubernetes
Experience handling massive batch/streaming data using big data tools, such as Apache Spark
Experience interacting with AWS, Azure, or other cloud service
Experience building reinforcement learning models
Experience with spatial and GIS concepts, preferably using Esri software
#LI-MS1
The Company


Our passion for improving quality of life through geography is at the heart of everything we do. Esri’s geographic information system (GIS) technology inspires and enables governments, universities, and businesses worldwide to save money, lives, and our environment through a deeper understanding of the changing world around them.

Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world. Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.

Esri is an equal opportunity employer (EOE) and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.

If you need a reasonable accommodation for any part of the employment process, please email humanresources@esri.com and let us know the nature of your request and your contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.",3.6,"Esri
3.6","Redlands, CA","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes
Data Scientist,$76K-$123K (Glassdoor est.),"New England Biolabs is seeking a Data Scientist to build, improve and utilize the varied and complex data sources we use to make excellent biological products.

NEB provides a world-class working environment including high quality computational infrastructure, skilled colleagues, and opportunities to exchange knowledge with internal and external scientists.

Primary Responsibilities:

Construct, extend, and maintain scientific software tools used at NEB to study enzymes and their activities. Collaborate with members of the Research, Product Development, Production, and Quality Control groups to identify patterns and trends in quantitative scientific data.

Required Qualifications and Experience:
Degree in a computational field and meaningful experience working with varied and complex datasets.
Software development skills (Ruby, Python, R, or others).
Appreciation for simple, high-quality, maintainable software.
Enthusiasm for data modeling, storage and visualization.
Demonstrated oral and written communication skills.
Strong work ethic, emphasizing both efficiency and quality of work.
Accessible evidence of software development history (e.g., GitHub).
Passion for learning.
Interest in applications of biologically derived tools to address important challenges.
Preferred Qualifications and Experience:
Expertise with high volume analysis of data from many sources.
Experience with virtualization technologies (kubernetes, cvmfs, lxc).
Experience with infrastructure automation tools (Ansible, Chef, Salt, etc.)
Modern web development skills (HTML5, Rails, Vue.js, etc.).
Cluster computing and scientific workflow frameworks (Galaxy, Nextflow, snakemake, CWL, etc.).
New England Biolabs, Inc. is an Equal Opportunity/Affirmative Action Employer of Minorities, Females, Disabled and Protected Veterans and a participating employer in the Employment Verification (E-Verify) program. More in-depth details of EEO are available here.

If you need an accommodation for any part of the employment process because of a medical condition or disability, please send an email to hr@neb.com or call 978-927-5054 to let us know the nature of your request.",4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina"
Data Scientist,$76K-$123K (Glassdoor est.),"We are an ambitious, well-funded, high-growth global technology company transforming the hotel industry. At Duetto, we are passionate about creating innovative solutions to help hoteliers thrive. Although we work hard and operate at ""Duetto speed,"" the work atmosphere is casual, flexible, collaborative, and most of all, fun.

We are seeking a unicorn to join our industry leading technology team co-founded by the former CTO of salesforce.com.

Our technology stack includes Java server technologies, NoSql, Github, single­-page JavaScript web techniques (jQuery, Backbone, React, and RequireJS), and patent­ pending analytical methods on top of MongoDB and AWS.

Desired Skills & Expertise
4 years of experience with scalable server-­side Java; ideally in the design of mission critical enterprise applications
Familiarity with data driven and data focused applications, data scalability techniques; ideally a knowledge of SQL as well as modern NoSql techniques
Understanding and love of Javascript, CSS, and API­ driven / MVC user interface frameworks
Passion for analytical applications, forecasting, data visualization and machine learning.
Curiosity about business problems and using modern infrastructure to solve real world challenges
About Duetto:

We are a team of passionate hospitality and technology professionals delivering a modern platform to hoteliers in over 60 countries. Our solutions address the biggest problems faced by the hospitality industry by simplifying distribution complexity and optimizing profitability with unique and powerful applications that increase conversion, guest loyalty, operational efficiency and revenue. Our goal is to become the most trusted, effective and widely used hotel technology company in the world. Founded in 2012, Duetto is headquartered in San Francisco with offices in Las Vegas, London, Singapore and Buenos Aires. Duetto is backed by leading investors: Warburg Pincus, Accel Partners, Icon Ventures, and Battery Ventures. If you want to be a part of a fast-growing company, working with amazing people tackling big challenges in a massive industry, then Duetto is looking for you.",4.4,"Duetto
4.4","San Francisco, CA","San Francisco, CA",51 to 200 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1
"Real World Science, Data Scientist",$76K-$123K (Glassdoor est.),"Title: Real World Science, Data Scientist
Location: Gaithersburg, MD

At AstraZeneca we turn ideas into life changing medicines. Working here means being entrepreneurial, thinking big and working together to make the impossible a reality.
Were focused on the potential of science to address the unmet needs of patients around the world. We commit to those areas where we think we can really change the course of medicine and bring big new ideas to life.

Job Description

The Real World Science & Digital team is a growing group within AstraZenecas global Evidence function which is driving the scientific use of Real World Data to accelerate the way patients access innovative medicines. The Real World Science and Digital team comprises of a core quantitative group, Digital Platform leads and Data Strategy experts providing AstraZeneca with an enterprise hub for Real World Science. AstraZeneca has a rich history in Real World Evidence, having developed a coherent strategy to develop and internalize data assets the group is now amplifying those investments through a dedicated Real World Data Science capability. Real World Data Scientists who are successful in this role will work on challenging problems, using innovative approaches to accelerate the delivery of Real World Insights and Evidence for key internal and external stakeholders.

The ideal candidate for this role will bring a proven track record of delivering value through the leverage of routinely collected data from healthcare settings to provide health analytics and insights in a range of contexts including Public Health, Pharmaceutical Research and Development and Commercial/ Payer.

They will collaborate with colleagues in Epidemiology, Statistics and Payer, giving scientific and technical guidance on study design, RW data selection and best practice in RW data utilization.

In addition, they will assist in advancing and shaping AZs Real World Science data strategy through the due diligence on new data providers/vendors, informatics support for data acquisitions in a range of Therapeutic Areas.

The role will promote best practice in Real World Data Science across multiple domains, and/or stakeholder groups.

Typical Accountabilities
Collaborate with Payer and Epidemiology teams to maximise the value derived from large observational research data
Deliver analyses of data from EMR, claims and primary observational data required by TA RWE strategies
Support the development of IVS strategies and selection of optimised contact models for prioritised markets through analysis of RWD
Provide scientific guidance on the application of Real World Evidence and observational research data to address issues across the Oncology and Biopharmaceuticals business units
Provide technical input, options and directions to strategic decisions made by AZ observational study teams on study design, data partner selection and best practices in RWE data utilization
Support technical teams to provide access to analytical tools and develop visual analytics to enable self-serving applications for end customers
Provide clear technical input, options, and direction to strategic decisions on RWE platform and capability build
Provide support for strategic decisions on AZ Medical Evidence and Observational Research external collaborations in the US and other markets
Assist in building a capability that becomes a source of sustained competitive advantage for AZ in identifying, acquiring, integrating and mining diverse RW data from multiple geographic and healthcare system sources to support evidence generation and real-world studies
Evaluate and assess strengths and weaknesses of external RW data sources, and potential partners for advancing the data strategy for specific therapeutic areas
Maintain a strong insight into the capabilities of potential external partners in RWE, especially for US and emerging markets.
Education, Qualifications, Skills and Experience

Key Relationships to reach solutions

Internal (to AZ or team)
Payer Evidence & Planning
Epidemiologists
Observational Research teams
Oncology and Biopharmaceuticals Medical Affairs Leads
Product and portfolio strategy
Medical Evidence Planning
Key experts in Data science /Analytics environments at AZ, and external partner organizations.
External (to AZ)
AZ RWS existing, prospective or potential partner organizations,
Key academic collaborators and thought leaders
Essential Requirements
PhD or MS in data science or other advanced degree in life sciences with post doctoral or other training/work in Medical/Health Informatics or related field
Experience in real-world evidence and familiarity with health economics/epidemiology, and quantitative science such as health outcome modelling
Expertise in EMR/Health IT, disease registries, and insurance claims databases
Expertise in clinical data standards, medical terminologies and controlled vocabularies used in healthcare data and ontologies (ICD9/10/ReadCode)
Experience in supporting pharmacoepidemiology studies with proven track record of advancing approaches with data science
Experience in Statistical Analysis Plan (SAP) generation and execution for observational studies
Expertise in methods development and application using statistical languages such as R/Matlab/SAS/SQL/Hadoop/Python
Experience in advanced visualisation and visual analytics of routinely collected healthcare data
Desirable
Expertise in data mining approaches within healthcare settings generating insight from routinely collected healthcare data
A history of patient care or equivalent background of working at a patient care setting that allows the candidate to bring medical perspective into real-world evidence generation and observational studies
Demonstrated ability to build long-term relationships with stakeholders at senior levels, understand relevant scientific/business challenges at a deep level and translate into a programme of informatics activities to deliver defined value
Ability to lead & manage multi-disciplinary data science projects
Strong track record of delivering large, cross functional projects
Experience working in a global organization and delivering global solutions
Use of Machine Learning and Artificial Intelligence in the generation of hypotheses within Real World Data",3.9,"AstraZeneca
3.9","Gaithersburg, MD","Cambridge, United Kingdom",10000+ employees,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis"
"Data Scientist, Office of Data Science",$76K-$123K (Glassdoor est.),"Help shape the future of Data Science across Liberty!

As a technical member of the Office of Data Science (ODS), Enablement & Collaboration unit, you will work with a team of data science (DS) and machine learning (ML) experts to solve Liberty's most challenging data science problems.

The ODS was created to provide additional centralized support and expertise to DS teams across the global organization. Our projects focus on key areas of interest to multiple teams, bleeding edge research and experimentation, common tool development, and establishing best practices to ensure the scientific community at Liberty is well-positioned to rapidly meet the challenges of modern industry.

If you are interested in making an impact on an entire culture at a Fortune 100 company, the ODS is the place for you!

As a centralized group, our project scope is vast. Possible projects include:
Design new language models (NLP/NLU) to understand and build predictions or summaries from customer calls, claim notes, web chats, medical records, and beyond.
Detect property hazards from aerial imagery, customer photos, geospatial data, etc. using computer vision (CV).
Explore the advantages and limitations of privacy-preserving ML, to accelerate experimentation and better protect our customers' data.
Push the boundaries in fundamental experimentation to boost and augment small-sample or rare-event data, transfer learning, and similar techniques.
Engage in theoretical research in collaboration with MIT, via Liberty's investment in the MIT Quest for Intelligence, to shape the future of AI

Responsibilities:
Work on cross-functional R&D teams, including ODS and business-unit data scientists/analysts, doing hands on ML research in areas such as computer vision, natural language processing, interpretable ML, and privacy preserving ML.
Accelerate the deployment of reproducible ML models by helping the business set and apply current best practices, including the use of open source software, container-based or serverless cloud platforms, and self-service operating models.
Develop common DS/ML tools and infrastructure across the business.
Set the standards for statistical testing and experimental design, as well as other quality standards such as testing coverage, code review, etc. for data science
Work with product owners and business units across Liberty to identify new opportunities where the ODS can accelerate research and development of DS and ML tools and techniques
The actual internal level/grade for this role will depend on the candidate's overall experience and skill level.
Qualifications:
Bachelor's degree in Statistics, Economics, Computer Science, or any quantitative discipline with relevant work experience, required; advanced degree a definite plus.
Extensive experience analyzing data and a broad understanding of core statistical and ML techniques.
Demonstrated experience in deep learning, computer vision, natural language processing, and/or interpretable machine learning.
Demonstrated proficiency in R or Python required.
Possess strong analytical, strategic, project management, decision-making and problem-solving skills.
Demonstrated ability to perform high quality work both independently and collaboratively.
Benefits:
We value your hard work, integrity and commitment to positive change. In return for your service, it's our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits
Overview:
At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.
We're dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual.",3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm"
Data Scientist,$76K-$123K (Glassdoor est.),"As Scale’s first data scientist, you will lead the charge on building our analytical infrastructure and driving insights that lead to step-function improvements in how we operate. We handle millions of tasks for businesses looking to scale their ML development, and we’re looking for a talented data scientist to help us understand it all in the service of building better products. In this role, you will apply statistical models, design and interpret experiments, build mission-critical dashboards, and help structure and order our data in the pursuit of transparency over how we operate and how we can improve.


You will:
Work closely with product, marketing, business, and ML teams to identify and answer important questions
Set up, maintain, and scale our data analytics infrastructure
Build critical dashboards that will guide day-to-day operations, planning, and strategic decision-making
Iterate on your work and analyses to generate ever-better questions to answer
Apply statistical models to identify root causes and predict the future performance of tasks, users, and products
Design, run, and analyze experiments
Build machine-learning models that power core operations, such as quality assessment and fraud detection
Ideally you’d have:
3+ years of industry experience in data science broadly
Expert knowledge of a scientific computing language (*e.g. *R, Python) and SQL
Strong knowledge of statistics (clustering, regression, etc.) and experimental design
Comfort setting up and using BI tools
Experience with ETL tools and building / maintaining a data warehouse
Nice to haves:
A PhD or MS in a quantitative field


About Us:
At Scale, our mission is to accelerate the development of Machine Learning and AI applications across multiple markets. Our first product is a suite of APIs that allow AI teams to generate high-quality ground truth data. Our customers include OpenAI, Zoox, Lyft, Pinterest, Airbnb, nuTonomy, and many more

Scale is an equal opportunity employer. We aim for every person at Scale to feel like they matter, belong, and can be their authentic selves so they can do their best work. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.2,"Scale AI
3.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Analytics & Data Science Lead,$76K-$123K (Glassdoor est.),"JOB CATEGORY:

Information Services

REQUISITION NUMBER:

441061

jd

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Kinship’s Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of pets and pet owners to not only power Kinship’s businesses but also influence the next great ideas in the pet care space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, our pets, and pet owners everywhere.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply advanced analytics & data science approaches to understand and predict pet and pet owner behaviors
Collaborate with internal teams and stakeholders to ensure we focus on pet-centric product and service recommendations
As our team grows, supervise, mentor, and develop future data scientist hires
Develop compelling stories that provide insight into the drivers of business performance and pet/pet owner behavior
Participate in the definition of our pet-centric project roadmap and its evolution
Support new pet technology businesses and partners by generating actionable insights from our data assets
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are passionate about our mission to shape the future of pet care. For all of our Kinship roles, we look for candidates who exemplify our core values:
Optimistic
Purposefully Inquisitive
Open to All
And for this role, we hope you have the following skills to knock it out of the dog park:
Truly inspired by, and want to live, our purpose of creating a better world for pets
6-8 years of experience in a data science role handling varied and complex data
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Proven experience in managing and developing analytics and data science talent
Varied technical experience in delivering statistical analytics, data science and insight on large-scale consumer data sets across multiple sectors, including packaged goods and retail, and preferably in the medical sector
Have a proven track record of creating strategically important insight and attributable benefits within a business
Able to partner effectively with the business stakeholders so they embrace your contribution, value your team’s contribution and partner to ensure the insights create value
Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how technical concepts to both non-technical and technical stakeholders.
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience
WHY JOIN US?

We offer our associates a unique opportunity to have a completely customizable career within pet care. Through Kinship you will work with and learn from a community of industry executives, pet partners, entrepreneurs, and fellow associates across our startup investment companies, outside partners, and in Mars Petcare. Our nimble and flexible approach to work allows you to make an immediate impact across businesses, while learning new skills at every stage. The diversity of our work opens doors to big opportunities and unlocks enormous potential for countless career experiences in pet care. Join us in our mission to chart the future of pet care, alongside the industry’s brightest minds.

jd

Nearest Major Market: Portland Oregon
Job Segment:
Data Analyst, Database, Analytics, Computer Science, Cloud, Data, Management, Technology

Apply now »",3.9,"Mars
3.9",Oregon,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Scientists,$90K-$109K (Glassdoor est.),"Position Description: The Analytics Research and Development team within the organization is looking for a highly skilled quantitative analyst / data scientist to assist in all levels of model development, evaluation, and deployment. The analyst will have significant autonomy in conducting research and selecting modeling methodologies. You will have the opportunity to work with some of the brightest global subject matter experts that are transforming the automobile industry. Responsibilities include, but are not limited to: - Work with Optimization Solutions group, Operations and Finance teams to support optimal pricing reflecting the risk/return tradeoff. - Employ statistical/econometric procedures to produce quarterly forecasts of vehicle loan characteristics to be included in pricing model. - Develop tracking methodologies and reports to monitor model accuracy and evaluate performance. - Prepare analysis to back-test and compare competing modeling methodologies. - Responsible for maintenance and enhancements of all developed models. - Utilize structural models to simulate business performance over different competitive and economic scenarios. - Support deployment of upgraded analytical tools to dynamically price vehicle financing. - Utilize optimization software to evaluate pricing methodologies. - Use data mining techniques to find opportunities within the pricing area. - Develop/evaluate marketing strategies to take advantage of pricing opportunities. - Utilize deep learning technology to extract vehicle features. - Work with various data sources and platforms (PC, Mainframe, Unix/Linux, Teradata, Hadoop) to gather data. - Execute both descriptive and inferential ad hoc requests in a timely mannerSkills Required: Demonstrated skills in conducting complex statistical analysis in a business or academic environment - Demonstrated skills in large scale data manipulation and mining/pattern recognition - Strong oral and written communication skills. - Strong programming skills in Python, C / C++/C# , Matlab, R, Pyspark",3.2,"Miracle Software Systems
3.2",Nebraska,"Novi, MI",51 to 200 employees,1994,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"CSC, IBM"
